ags,type,key,value,state
09161,costs,costs_nursing_class_1, 55.20,Bayern
09162,costs,costs_nursing_class_1, 58.84,
09163,costs,costs_nursing_class_1, 57.39,
09171,costs,costs_nursing_class_1, 54.56,
09172,costs,costs_nursing_class_1, 55.33,
09173,costs,costs_nursing_class_1, 57.06,
09174,costs,costs_nursing_class_1, 54.41,
09175,costs,costs_nursing_class_1, 57.16,
09176,costs,costs_nursing_class_1, 55.55,
09177,costs,costs_nursing_class_1, 51.89,
09178,costs,costs_nursing_class_1, 55.91,
09179,costs,costs_nursing_class_1, 57.28,
09180,costs,costs_nursing_class_1, 53.28,
09181,costs,costs_nursing_class_1, 57.73,
09182,costs,costs_nursing_class_1, 52.44,
09183,costs,costs_nursing_class_1, 52.93,
09184,costs,costs_nursing_class_1, 57.67,
09185,costs,costs_nursing_class_1, 53.18,
09186,costs,costs_nursing_class_1, 52.45,
09187,costs,costs_nursing_class_1, 54.99,
09188,costs,costs_nursing_class_1, 57.16,
09189,costs,costs_nursing_class_1, 54.40,
09190,costs,costs_nursing_class_1, 54.73,
09261,costs,costs_nursing_class_1, 50.68,
09262,costs,costs_nursing_class_1, 53.11,
09263,costs,costs_nursing_class_1, 52.22,
09271,costs,costs_nursing_class_1, 52.33,
09272,costs,costs_nursing_class_1, 50.17,
09273,costs,costs_nursing_class_1, 51.28,
09274,costs,costs_nursing_class_1, 49.76,
09275,costs,costs_nursing_class_1, 52.86,
09276,costs,costs_nursing_class_1, 49.21,
09277,costs,costs_nursing_class_1, 49.53,
09278,costs,costs_nursing_class_1, 53.23,
09279,costs,costs_nursing_class_1, 50.87,
09361,costs,costs_nursing_class_1, 53.60,
09362,costs,costs_nursing_class_1, 53.22,
09363,costs,costs_nursing_class_1, 51.90,
09371,costs,costs_nursing_class_1, 48.98,
09372,costs,costs_nursing_class_1, 48.33,
09373,costs,costs_nursing_class_1, 51.24,
09374,costs,costs_nursing_class_1, 53.70,
09375,costs,costs_nursing_class_1, 52.46,
09376,costs,costs_nursing_class_1, 53.29,
09377,costs,costs_nursing_class_1, 50.26,
09461,costs,costs_nursing_class_1, 50.55,
09462,costs,costs_nursing_class_1, 50.36,
09463,costs,costs_nursing_class_1, 51.17,
09464,costs,costs_nursing_class_1, 48.66,
09471,costs,costs_nursing_class_1, 52.15,
09472,costs,costs_nursing_class_1, 51.55,
09473,costs,costs_nursing_class_1, 49.86,
09474,costs,costs_nursing_class_1, 51.50,
09475,costs,costs_nursing_class_1, 52.12,
09476,costs,costs_nursing_class_1, 45.01,
09477,costs,costs_nursing_class_1, 55.33,
