ags,type,key,value,state
03101,costs,costs_nursing_class_1,44.5,Niedersachsen
03101,costs,costs_nursing_class_2,57.65,Niedersachsen
03101,costs,costs_nursing_class_3,71.79,Niedersachsen
03101,costs,food,17.54,Niedersachsen
03102,costs,costs_nursing_class_1,42.71,Niedersachsen
03102,costs,costs_nursing_class_2,56.45,Niedersachsen
03102,costs,costs_nursing_class_3,70.02,Niedersachsen
03102,costs,food,17.42,Niedersachsen
03103,costs,costs_nursing_class_1,44.91,Niedersachsen
03103,costs,costs_nursing_class_2,59.02,Niedersachsen
03103,costs,costs_nursing_class_3,74.43,Niedersachsen
03103,costs,food,18.51,Niedersachsen
03151,costs,costs_nursing_class_1,43.13,Niedersachsen
03151,costs,costs_nursing_class_2,55.64,Niedersachsen
03151,costs,costs_nursing_class_3,69.97,Niedersachsen
03151,costs,food,18.44,Niedersachsen
03152,costs,costs_nursing_class_1,43.75,Niedersachsen
03152,costs,costs_nursing_class_2,57.53,Niedersachsen
03152,costs,costs_nursing_class_3,71.05,Niedersachsen
03152,costs,food,17.07,Niedersachsen
03153,costs,costs_nursing_class_1,43.66,Niedersachsen
03153,costs,costs_nursing_class_2,56.08,Niedersachsen
03153,costs,costs_nursing_class_3,69.45,Niedersachsen
03153,costs,food,17.22,Niedersachsen
03154,costs,costs_nursing_class_1,43.07,Niedersachsen
03154,costs,costs_nursing_class_2,56.2,Niedersachsen
03154,costs,costs_nursing_class_3,69.6,Niedersachsen
03154,costs,food,17.06,Niedersachsen
03155,costs,costs_nursing_class_1,42.56,Niedersachsen
03155,costs,costs_nursing_class_2,54.56,Niedersachsen
03155,costs,costs_nursing_class_3,67.81,Niedersachsen
03155,costs,food,17.02,Niedersachsen
03156,costs,costs_nursing_class_1,40.18,Niedersachsen
03156,costs,costs_nursing_class_2,51.7,Niedersachsen
03156,costs,costs_nursing_class_3,64.46,Niedersachsen
03156,costs,food,16.67,Niedersachsen
03157,costs,costs_nursing_class_1,40.67,Niedersachsen
03157,costs,costs_nursing_class_2,52.83,Niedersachsen
03157,costs,costs_nursing_class_3,65.53,Niedersachsen
03157,costs,food,16.61,Niedersachsen
03158,costs,costs_nursing_class_1,41.31,Niedersachsen
03158,costs,costs_nursing_class_2,54.56,Niedersachsen
03158,costs,costs_nursing_class_3,68.24,Niedersachsen
03158,costs,food,16.77,Niedersachsen
03241,costs,costs_nursing_class_1,46.63,Niedersachsen
03241,costs,costs_nursing_class_2,60.37,Niedersachsen
03241,costs,costs_nursing_class_3,74.0,Niedersachsen
03241,costs,food,18.79,Niedersachsen
03251,costs,costs_nursing_class_1,43.2,Niedersachsen
03251,costs,costs_nursing_class_2,55.77,Niedersachsen
03251,costs,costs_nursing_class_3,68.58,Niedersachsen
03251,costs,food,16.82,Niedersachsen
03252,costs,costs_nursing_class_1,45.11,Niedersachsen
03252,costs,costs_nursing_class_2,58.12,Niedersachsen
03252,costs,costs_nursing_class_3,72.08,Niedersachsen
03252,costs,food,17.69,Niedersachsen
03254,costs,costs_nursing_class_1,42.16,Niedersachsen
03254,costs,costs_nursing_class_2,54.75,Niedersachsen
03254,costs,costs_nursing_class_3,66.5,Niedersachsen
03254,costs,food,17.01,Niedersachsen
03255,costs,costs_nursing_class_1,41.38,Niedersachsen
03255,costs,costs_nursing_class_2,53.85,Niedersachsen
03255,costs,costs_nursing_class_3,66.69,Niedersachsen
03255,costs,food,16.59,Niedersachsen
03256,costs,costs_nursing_class_1,42.58,Niedersachsen
03256,costs,costs_nursing_class_2,55.57,Niedersachsen
03256,costs,costs_nursing_class_3,68.64,Niedersachsen
03256,costs,food,17.27,Niedersachsen
03257,costs,costs_nursing_class_1,42.63,Niedersachsen
03257,costs,costs_nursing_class_2,55.19,Niedersachsen
03257,costs,costs_nursing_class_3,67.9,Niedersachsen
03257,costs,food,16.67,Niedersachsen
03351,costs,costs_nursing_class_1,42.15,Niedersachsen
03351,costs,costs_nursing_class_2,54.9,Niedersachsen
03351,costs,costs_nursing_class_3,67.64,Niedersachsen
03351,costs,food,17.59,Niedersachsen
03352,costs,costs_nursing_class_1,44.31,Niedersachsen
03352,costs,costs_nursing_class_2,57.58,Niedersachsen
03352,costs,costs_nursing_class_3,71.01,Niedersachsen
03352,costs,food,17.47,Niedersachsen
03353,costs,costs_nursing_class_1,46.39,Niedersachsen
03353,costs,costs_nursing_class_2,59.88,Niedersachsen
03353,costs,costs_nursing_class_3,74.04,Niedersachsen
03353,costs,food,18.28,Niedersachsen
03354,costs,costs_nursing_class_1,45.41,Niedersachsen
03354,costs,costs_nursing_class_2,56.85,Niedersachsen
03354,costs,costs_nursing_class_3,69.47,Niedersachsen
03354,costs,food,18.26,Niedersachsen
03355,costs,costs_nursing_class_1,39.92,Niedersachsen
03355,costs,costs_nursing_class_2,52.5,Niedersachsen
03355,costs,costs_nursing_class_3,65.15,Niedersachsen
03355,costs,food,17.02,Niedersachsen
03356,costs,costs_nursing_class_1,43.18,Niedersachsen
03356,costs,costs_nursing_class_2,55.47,Niedersachsen
03356,costs,costs_nursing_class_3,68.01,Niedersachsen
03356,costs,food,16.73,Niedersachsen
03357,costs,costs_nursing_class_1,43.21,Niedersachsen
03357,costs,costs_nursing_class_2,55.21,Niedersachsen
03357,costs,costs_nursing_class_3,67.95,Niedersachsen
03357,costs,food,17.42,Niedersachsen
03358,costs,costs_nursing_class_1,46.33,Niedersachsen
03358,costs,costs_nursing_class_2,59.63,Niedersachsen
03358,costs,costs_nursing_class_3,73.11,Niedersachsen
03358,costs,food,17.9,Niedersachsen
03359,costs,costs_nursing_class_1,43.0,Niedersachsen
03359,costs,costs_nursing_class_2,56.75,Niedersachsen
03359,costs,costs_nursing_class_3,70.43,Niedersachsen
03359,costs,food,17.42,Niedersachsen
03360,costs,costs_nursing_class_1,39.95,Niedersachsen
03360,costs,costs_nursing_class_2,52.17,Niedersachsen
03360,costs,costs_nursing_class_3,63.34,Niedersachsen
03360,costs,food,17.6,Niedersachsen
03361,costs,costs_nursing_class_1,41.51,Niedersachsen
03361,costs,costs_nursing_class_2,54.38,Niedersachsen
03361,costs,costs_nursing_class_3,67.29,Niedersachsen
03361,costs,food,17.38,Niedersachsen
03401,costs,costs_nursing_class_1,42.85,Niedersachsen
03401,costs,costs_nursing_class_2,56.6,Niedersachsen
03401,costs,costs_nursing_class_3,70.92,Niedersachsen
03401,costs,food,17.26,Niedersachsen
03402,costs,costs_nursing_class_1,44.57,Niedersachsen
