ags,type,key,value,state
9161,costs,costs_nursing_class_1,55.2,Bayern
9162,costs,costs_nursing_class_1,58.84,Bayern
9163,costs,costs_nursing_class_1,57.39,Bayern
9171,costs,costs_nursing_class_1,54.56,Bayern
9172,costs,costs_nursing_class_1,55.33,Bayern
9173,costs,costs_nursing_class_1,57.06,Bayern
9174,costs,costs_nursing_class_1,54.41,Bayern
9175,costs,costs_nursing_class_1,57.16,Bayern
9176,costs,costs_nursing_class_1,55.55,Bayern
9177,costs,costs_nursing_class_1,51.89,Bayern
9178,costs,costs_nursing_class_1,55.91,Bayern
9179,costs,costs_nursing_class_1,57.28,Bayern
9180,costs,costs_nursing_class_1,53.28,Bayern
9181,costs,costs_nursing_class_1,57.73,Bayern
9182,costs,costs_nursing_class_1,52.44,Bayern
9183,costs,costs_nursing_class_1,52.93,Bayern
9184,costs,costs_nursing_class_1,57.67,Bayern
9185,costs,costs_nursing_class_1,53.18,Bayern
9186,costs,costs_nursing_class_1,52.45,Bayern
9187,costs,costs_nursing_class_1,54.99,Bayern
9188,costs,costs_nursing_class_1,57.16,Bayern
9189,costs,costs_nursing_class_1,54.4,Bayern
9190,costs,costs_nursing_class_1,54.73,Bayern
9261,costs,costs_nursing_class_1,50.68,Bayern
9262,costs,costs_nursing_class_1,53.11,Bayern
9263,costs,costs_nursing_class_1,52.22,Bayern
9271,costs,costs_nursing_class_1,52.33,Bayern
9272,costs,costs_nursing_class_1,50.17,Bayern
9273,costs,costs_nursing_class_1,51.28,Bayern
9274,costs,costs_nursing_class_1,49.76,Bayern
9275,costs,costs_nursing_class_1,52.86,Bayern
9276,costs,costs_nursing_class_1,49.21,Bayern
9277,costs,costs_nursing_class_1,49.53,Bayern
9278,costs,costs_nursing_class_1,53.23,Bayern
9279,costs,costs_nursing_class_1,50.87,Bayern
9361,costs,costs_nursing_class_1,53.6,Bayern
9362,costs,costs_nursing_class_1,53.22,Bayern
9363,costs,costs_nursing_class_1,51.9,Bayern
9371,costs,costs_nursing_class_1,48.98,Bayern
9372,costs,costs_nursing_class_1,48.33,Bayern
9373,costs,costs_nursing_class_1,51.24,Bayern
9374,costs,costs_nursing_class_1,53.7,Bayern
9375,costs,costs_nursing_class_1,52.46,Bayern
9376,costs,costs_nursing_class_1,53.29,Bayern
9377,costs,costs_nursing_class_1,50.26,Bayern
9461,costs,costs_nursing_class_1,50.55,Bayern
9462,costs,costs_nursing_class_1,50.36,Bayern
9463,costs,costs_nursing_class_1,51.17,Bayern
9464,costs,costs_nursing_class_1,48.66,Bayern
9471,costs,costs_nursing_class_1,52.15,Bayern
9472,costs,costs_nursing_class_1,51.55,Bayern
9473,costs,costs_nursing_class_1,49.86,Bayern
9474,costs,costs_nursing_class_1,51.5,Bayern
9475,costs,costs_nursing_class_1,52.12,Bayern
9476,costs,costs_nursing_class_1,45.01,Bayern
9477,costs,costs_nursing_class_1,55.33,Bayern
9478,costs,costs_nursing_class_1,54.3,Bayern
9479,costs,costs_nursing_class_1,49.99,Bayern
9561,costs,costs_nursing_class_1,52.29,Bayern
9562,costs,costs_nursing_class_1,52.3,Bayern
9563,costs,costs_nursing_class_1,51.41,Bayern
9564,costs,costs_nursing_class_1,52.58,Bayern
