ags,type,key,value,state
11000,personal,total_personnel,20632,Berlin
11000,personal,fully_employed,8723,Berlin
11000,personal,part-time,10790,Berlin
11000,personal,nursing_and_care,14746,Berlin
11000,personal,social_care,739,Berlin
11000,personal,other_care,872,Berlin
11000,costs,costs_nursing_class_1,52.11,Berlin
11000,costs,costs_nursing_class_2,70.64,Berlin
11000,costs,costs_nursing_class_3,84.08,Berlin
11000,costs,food,17.59,Berlin
11000,beds,1-bed,20453,Berlin
11000,beds,2-bed,11494,Berlin
11000,beds,3-bed,395,Berlin
11000,beds,4-bed,7,Berlin
11000,recipients,recipients_nursing_class_1,11721,Berlin
11000,recipients,recipients_nursing_class_2,10375,Berlin
11000,recipients,recipients_nursing_class_3,5032,Berlin
11000,recipients,recipients_nursing_class_unknown,400,Berlin
