ags,type,key,value,state
12051,costs,costs_nursing_class_1,45.29,Brandenburg
12052,costs,costs_nursing_class_1,42.58,Brandenburg
12053,costs,costs_nursing_class_1,40.62,Brandenburg
12054,costs,costs_nursing_class_1,42.37,Brandenburg
12060,costs,costs_nursing_class_1,42.56,Brandenburg
12061,costs,costs_nursing_class_1,41.55,Brandenburg
12062,costs,costs_nursing_class_1,39.51,Brandenburg
12063,costs,costs_nursing_class_1,44.85,Brandenburg
12064,costs,costs_nursing_class_1,41.68,Brandenburg
12065,costs,costs_nursing_class_1,43.76,Brandenburg
12066,costs,costs_nursing_class_1,44.05,Brandenburg
12067,costs,costs_nursing_class_1,40.47,Brandenburg
12068,costs,costs_nursing_class_1,39.15,Brandenburg
12069,costs,costs_nursing_class_1,43.35,Brandenburg
12070,costs,costs_nursing_class_1,43.06,Brandenburg
12071,costs,costs_nursing_class_1,41.29,Brandenburg
12072,costs,costs_nursing_class_1,40.37,Brandenburg
12073,costs,costs_nursing_class_1,40.2,Brandenburg
12051,costs,costs_nursing_class_2,56.01,Brandenburg
12052,costs,costs_nursing_class_2,53.28,Brandenburg
12053,costs,costs_nursing_class_2,51.72,Brandenburg
12054,costs,costs_nursing_class_2,53.68,Brandenburg
12060,costs,costs_nursing_class_2,53.5,Brandenburg
12061,costs,costs_nursing_class_2,52.63,Brandenburg
12062,costs,costs_nursing_class_2,50.31,Brandenburg
12063,costs,costs_nursing_class_2,55.68,Brandenburg
12064,costs,costs_nursing_class_2,52.48,Brandenburg
12065,costs,costs_nursing_class_2,54.93,Brandenburg
12066,costs,costs_nursing_class_2,54.73,Brandenburg
12067,costs,costs_nursing_class_2,51.47,Brandenburg
12068,costs,costs_nursing_class_2,49.84,Brandenburg
12069,costs,costs_nursing_class_2,54.38,Brandenburg
12070,costs,costs_nursing_class_2,54.03,Brandenburg
12071,costs,costs_nursing_class_2,52.41,Brandenburg
12072,costs,costs_nursing_class_2,51.12,Brandenburg
12073,costs,costs_nursing_class_2,51.06,Brandenburg
12051,costs,costs_nursing_class_3,73.01,Brandenburg
12052,costs,costs_nursing_class_3,71.07,Brandenburg
12053,costs,costs_nursing_class_3,69.91,Brandenburg
12054,costs,costs_nursing_class_3,71.48,Brandenburg
12060,costs,costs_nursing_class_3,71.43,Brandenburg
12061,costs,costs_nursing_class_3,70.18,Brandenburg
12062,costs,costs_nursing_class_3,67.38,Brandenburg
12063,costs,costs_nursing_class_3,72.92,Brandenburg
12064,costs,costs_nursing_class_3,69.8,Brandenburg
12065,costs,costs_nursing_class_3,72.65,Brandenburg
