ags,type,key,value,state
04011,personal,total_personnel,5087,Bremen
04011,personal,fully_employed,983,Bremen
04011,personal,part-time,3812,Bremen
04011,personal,nursing_and_care,3142,Bremen
04011,personal,social_care,135,Bremen
04011,personal,other_care,184,Bremen
04011,costs,costs_nursing_class_1,37.13,Bremen
04011,costs,costs_nursing_class_2,59.09,Bremen
04011,costs,costs_nursing_class_3,73.73,Bremen
04011,costs,food,22.20,Bremen
04011,beds,1-bed,4174,Bremen
04011,beds,2-bed,1638,Bremen
04011,beds,3-bed,3,Bremen
04011,beds,4-bed,0,Bremen
04011,recipients,recipients_nursing_class_1,2128,Bremen
04011,recipients,recipients_nursing_class_2,2005,Bremen
04011,recipients,recipients_nursing_class_3,1144,Bremen
04011,recipients,recipients_nursing_class_unknown,64,Bremen
04012,personal,total_personnel,772,Bremen
04012,personal,fully_employed,272,Bremen
04012,personal,part-time,434,Bremen
04012,personal,nursing_and_care,538,Bremen
04012,personal,social_care,42,Bremen
04012,personal,other_care,31,Bremen
04012,costs,costs_nursing_class_1,37.13,Bremen
04012,costs,costs_nursing_class_2,59.17,Bremen
04012,costs,costs_nursing_class_3,73.86,Bremen
04012,costs,food,22.20,Bremen
04012,beds,1-bed,772,Bremen
04012,beds,2-bed,262,Bremen
04012,beds,3-bed,0,Bremen
04012,beds,4-bed,0,Bremen
04012,recipients,recipients_nursing_class_1,356,Bremen
04012,recipients,recipients_nursing_class_2,373,Bremen
04012,recipients,recipients_nursing_class_3,205,Bremen
04012,recipients,recipients_nursing_class_unknown,6,Bremen
