ags,type,key,value,state
002000,personal,total_personnel,12650,Hamburg
02000,personal,fully_employed,5012,Hamburg
02000,personal,part-time,6700,Hamburg
02000,personal,nursing_and_care,8196,Hamburg
02000,personal,social_care,653,Hamburg
02000,personal,other_care,410,Hamburg
02000,costs,costs_nursing_class_1,43.63,Hamburg
02000,costs,costs_nursing_class_2,63.31,Hamburg
02000,costs,costs_nursing_class_3,83.28,Hamburg
02000,costs,food,23.41,Hamburg
02000,beds,1-bed,12543,Hamburg
02000,beds,2-bed,5689,Hamburg
02000,beds,3-bed,120,Hamburg
02000,beds,4-bed,6,Hamburg
02000,recipients,recipients_nursing_class_1,6010,Hamburg
02000,recipients,recipients_nursing_class_2,5919,Hamburg
02000,recipients,recipients_nursing_class_3,3104,Hamburg
02000,recipients,recipients_nursing_class_unknown,562,Hamburg
02000,personal,trainee,805,Hamburg
02000,personal,state_certified,3327,Hamburg
02000,personal,nurse,738,Hamburg
02000,personal,nurse_children,82,Hamburg
