ags,type,key,value,state
13003,costs,costs_nursing_class_1,44.38,Mecklenburg-Vorpommern
13003,costs,costs_nursing_class_2,57.1,Mecklenburg-Vorpommern
13003,costs,costs_nursing_class_3,72.36,Mecklenburg-Vorpommern
13003,costs,food,17.23,Mecklenburg-Vorpommern
13004,costs,costs_nursing_class_1,39.4,Mecklenburg-Vorpommern
13004,costs,costs_nursing_class_2,52.03,Mecklenburg-Vorpommern
13004,costs,costs_nursing_class_3,67.2,Mecklenburg-Vorpommern
13004,costs,food,16.21,Mecklenburg-Vorpommern
13071,costs,costs_nursing_class_1,40.34,Mecklenburg-Vorpommern
13071,costs,costs_nursing_class_2,53.23,Mecklenburg-Vorpommern
13071,costs,costs_nursing_class_3,69.04,Mecklenburg-Vorpommern
13071,costs,food,17.3,Mecklenburg-Vorpommern
13072,costs,costs_nursing_class_1,36.8,Mecklenburg-Vorpommern
13072,costs,costs_nursing_class_2,48.61,Mecklenburg-Vorpommern
13072,costs,costs_nursing_class_3,62.71,Mecklenburg-Vorpommern
13072,costs,food,15.96,Mecklenburg-Vorpommern
13073,costs,costs_nursing_class_1,39.23,Mecklenburg-Vorpommern
13073,costs,costs_nursing_class_2,51.72,Mecklenburg-Vorpommern
13073,costs,costs_nursing_class_3,66.77,Mecklenburg-Vorpommern
13073,costs,food,16.42,Mecklenburg-Vorpommern
13074,costs,costs_nursing_class_1,38.47,Mecklenburg-Vorpommern
13074,costs,costs_nursing_class_2,51.03,Mecklenburg-Vorpommern
13074,costs,costs_nursing_class_3,66.09,Mecklenburg-Vorpommern
13074,costs,food,16.37,Mecklenburg-Vorpommern
13075,costs,costs_nursing_class_1,44.16,Mecklenburg-Vorpommern
13075,costs,costs_nursing_class_2,57.01,Mecklenburg-Vorpommern
13075,costs,costs_nursing_class_3,72.68,Mecklenburg-Vorpommern
13075,costs,food,16.38,Mecklenburg-Vorpommern
13076,costs,costs_nursing_class_1,39.22,Mecklenburg-Vorpommern
13076,costs,costs_nursing_class_2,51.57,Mecklenburg-Vorpommern
13076,costs,costs_nursing_class_3,66.4,Mecklenburg-Vorpommern
13076,costs,food,16.53,Mecklenburg-Vorpommern
13003,beds,1-bed,1577,Mecklenburg-Vorpommern
13003,beds,2-bed,707,Mecklenburg-Vorpommern
13003,beds,3-bed,0,Mecklenburg-Vorpommern
13003,beds,4-bed,0,Mecklenburg-Vorpommern
13004,beds,1-bed,1065,Mecklenburg-Vorpommern
13004,beds,2-bed,436,Mecklenburg-Vorpommern
13004,beds,3-bed,0,Mecklenburg-Vorpommern
13004,beds,4-bed,0,Mecklenburg-Vorpommern
13071,beds,1-bed,1397,Mecklenburg-Vorpommern
13071,beds,2-bed,1382,Mecklenburg-Vorpommern
13071,beds,3-bed,42,Mecklenburg-Vorpommern
13071,beds,4-bed,0,Mecklenburg-Vorpommern
13072,beds,1-bed,1452,Mecklenburg-Vorpommern
13072,beds,2-bed,1316,Mecklenburg-Vorpommern
13072,beds,3-bed,3,Mecklenburg-Vorpommern
13072,beds,4-bed,48,Mecklenburg-Vorpommern
13073,beds,1-bed,1 412,Mecklenburg-Vorpommern
13073,beds,2-bed,1 316,Mecklenburg-Vorpommern
13073,beds,3-bed,52,Mecklenburg-Vorpommern
13073,beds,4-bed,0,Mecklenburg-Vorpommern
13074,beds,1-bed,669,Mecklenburg-Vorpommern
13074,beds,2-bed,1176,Mecklenburg-Vorpommern
13074,beds,3-bed,0,Mecklenburg-Vorpommern
13074,beds,4-bed,0,Mecklenburg-Vorpommern
13075,beds,1-bed,1020,Mecklenburg-Vorpommern
13075,beds,2-bed,1612,Mecklenburg-Vorpommern
13075,beds,3-bed,137,Mecklenburg-Vorpommern
13075,beds,4-bed,4,Mecklenburg-Vorpommern
13076,beds,1-bed,1261,Mecklenburg-Vorpommern
13076,beds,2-bed,1127,Mecklenburg-Vorpommern
13076,beds,3-bed,6,Mecklenburg-Vorpommern
13076,beds,4-bed,0,Mecklenburg-Vorpommern
13003,personal,total_personnel,1687,Mecklenburg-Vorpommern
13003,personal,fully_employed,465,Mecklenburg-Vorpommern
13003,personal,part-time,1125,Mecklenburg-Vorpommern
13003,personal,nursing_and_care,1139,Mecklenburg-Vorpommern
13003,personal,social_care,77,Mecklenburg-Vorpommern
13003,personal,other_care,94,Mecklenburg-Vorpommern
13004,personal,total_personnel,985,Mecklenburg-Vorpommern
13004,personal,fully_employed,147,Mecklenburg-Vorpommern
13004,personal,part-time,752,Mecklenburg-Vorpommern
13004,personal,nursing_and_care,744,Mecklenburg-Vorpommern
13004,personal,social_care,43,Mecklenburg-Vorpommern
13004,personal,other_care,51,Mecklenburg-Vorpommern
13071,personal,total_personnel,2228,Mecklenburg-Vorpommern
13071,personal,fully_employed,346,Mecklenburg-Vorpommern
13071,personal,part-time,1711,Mecklenburg-Vorpommern
13071,personal,nursing_and_care,1573,Mecklenburg-Vorpommern
13071,personal,social_care,100,Mecklenburg-Vorpommern
13071,personal,other_care,120,Mecklenburg-Vorpommern
13072,personal,total_personnel,1907,Mecklenburg-Vorpommern
13072,personal,fully_employed,557,Mecklenburg-Vorpommern
13072,personal,part-time,1240,Mecklenburg-Vorpommern
13072,personal,nursing_and_care,1359,Mecklenburg-Vorpommern
13072,personal,social_care,89,Mecklenburg-Vorpommern
13072,personal,other_care,104,Mecklenburg-Vorpommern
13073,personal,total_personnel,1838,Mecklenburg-Vorpommern
13073,personal,fully_employed,556,Mecklenburg-Vorpommern
13073,personal,part-time,1167,Mecklenburg-Vorpommern
13073,personal,nursing_and_care,1295,Mecklenburg-Vorpommern
13073,personal,social_care,81,Mecklenburg-Vorpommern
13073,personal,other_care,94,Mecklenburg-Vorpommern
13074,personal,total_personnel,1389,Mecklenburg-Vorpommern
13074,personal,fully_employed,289,Mecklenburg-Vorpommern
13074,personal,part-time,1032,Mecklenburg-Vorpommern
13074,personal,nursing_and_care,894,Mecklenburg-Vorpommern
13074,personal,social_care,38,Mecklenburg-Vorpommern
13074,personal,other_care,75,Mecklenburg-Vorpommern
13075,personal,total_personnel,1881,Mecklenburg-Vorpommern
13075,personal,fully_employed,499,Mecklenburg-Vorpommern
13075,personal,part-time,1276,Mecklenburg-Vorpommern
13075,personal,nursing_and_care,1330,Mecklenburg-Vorpommern
13075,personal,social_care,121,Mecklenburg-Vorpommern
13075,personal,other_care,94,Mecklenburg-Vorpommern
13076,personal,total_personnel,1781,Mecklenburg-Vorpommern
13076,personal,fully_employed,313,Mecklenburg-Vorpommern
13076,personal,part-time,1384,Mecklenburg-Vorpommern
13076,personal,nursing_and_care,1208,Mecklenburg-Vorpommern
13076,personal,social_care,76,Mecklenburg-Vorpommern
13076,personal,other_care,88,Mecklenburg-Vorpommern
13003,recipients,recipients_nursing_class_1,800,Mecklenburg-Vorpommern
13003,recipients,recipients_nursing_class_2,1018,Mecklenburg-Vorpommern
13003,recipients,recipients_nursing_class_3,413,Mecklenburg-Vorpommern
13003,recipients,recipients_nursing_class_unknown,,Mecklenburg-Vorpommern
13004,recipients,recipients_nursing_class_1,597,Mecklenburg-Vorpommern
13004,recipients,recipients_nursing_class_2,620,Mecklenburg-Vorpommern
13004,recipients,recipients_nursing_class_3,236,Mecklenburg-Vorpommern
13004,recipients,recipients_nursing_class_unknown,,Mecklenburg-Vorpommern
13071,recipients,recipients_nursing_class_1,949,Mecklenburg-Vorpommern
13071,recipients,recipients_nursing_class_2,1191,Mecklenburg-Vorpommern
13071,recipients,recipients_nursing_class_3,638,Mecklenburg-Vorpommern
13071,recipients,recipients_nursing_class_unknown,,Mecklenburg-Vorpommern
13072,recipients,recipients_nursing_class_1,952,Mecklenburg-Vorpommern
13072,recipients,recipients_nursing_class_2,1176,Mecklenburg-Vorpommern
13072,recipients,recipients_nursing_class_3,519,Mecklenburg-Vorpommern
13072,recipients,recipients_nursing_class_unknown,8,Mecklenburg-Vorpommern
13073,recipients,recipients_nursing_class_1,869,Mecklenburg-Vorpommern
13073,recipients,recipients_nursing_class_2,1241,Mecklenburg-Vorpommern
13073,recipients,recipients_nursing_class_3,554,Mecklenburg-Vorpommern
13073,recipients,recipients_nursing_class_unknown,13,Mecklenburg-Vorpommern
13074,recipients,recipients_nursing_class_1,640,Mecklenburg-Vorpommern
13074,recipients,recipients_nursing_class_2,811,Mecklenburg-Vorpommern
13074,recipients,recipients_nursing_class_3,331,Mecklenburg-Vorpommern
13074,recipients,recipients_nursing_class_unknown,3,Mecklenburg-Vorpommern
13075,recipients,recipients_nursing_class_1,987,Mecklenburg-Vorpommern
13075,recipients,recipients_nursing_class_2,1122,Mecklenburg-Vorpommern
13075,recipients,recipients_nursing_class_3,542,Mecklenburg-Vorpommern
13075,recipients,recipients_nursing_class_unknown,6,Mecklenburg-Vorpommern
13076,recipients,recipients_nursing_class_1,927,Mecklenburg-Vorpommern
13076,recipients,recipients_nursing_class_2,1024,Mecklenburg-Vorpommern
13076,recipients,recipients_nursing_class_3,402,Mecklenburg-Vorpommern
13076,recipients,recipients_nursing_class_unknown,3,Mecklenburg-Vorpommern
