ags,key,state,type,value
03101,costs_nursing_class_1,Niedersachsen,costs,44.5
03101,costs_nursing_class_2,Niedersachsen,costs,57.65
03101,costs_nursing_class_3,Niedersachsen,costs,71.79
03101,food,Niedersachsen,costs,17.54
03102,costs_nursing_class_1,Niedersachsen,costs,42.71
03102,costs_nursing_class_2,Niedersachsen,costs,56.45
03102,costs_nursing_class_3,Niedersachsen,costs,70.02
03102,food,Niedersachsen,costs,17.42
03103,costs_nursing_class_1,Niedersachsen,costs,44.91
03103,costs_nursing_class_2,Niedersachsen,costs,59.02
03103,costs_nursing_class_3,Niedersachsen,costs,74.43
03103,food,Niedersachsen,costs,18.51
03151,costs_nursing_class_1,Niedersachsen,costs,43.13
03151,costs_nursing_class_2,Niedersachsen,costs,55.64
03151,costs_nursing_class_3,Niedersachsen,costs,69.97
03151,food,Niedersachsen,costs,18.44
03152,costs_nursing_class_1,Niedersachsen,costs,43.75
03152,costs_nursing_class_2,Niedersachsen,costs,57.53
03152,costs_nursing_class_3,Niedersachsen,costs,71.05
03152,food,Niedersachsen,costs,17.07
03153,costs_nursing_class_1,Niedersachsen,costs,43.66
03153,costs_nursing_class_2,Niedersachsen,costs,56.08
03153,costs_nursing_class_3,Niedersachsen,costs,69.45
03153,food,Niedersachsen,costs,17.22
03154,costs_nursing_class_1,Niedersachsen,costs,43.07
03154,costs_nursing_class_2,Niedersachsen,costs,56.2
03154,costs_nursing_class_3,Niedersachsen,costs,69.6
03154,food,Niedersachsen,costs,17.06
03155,costs_nursing_class_1,Niedersachsen,costs,42.56
03155,costs_nursing_class_2,Niedersachsen,costs,54.56
03155,costs_nursing_class_3,Niedersachsen,costs,67.81
03155,food,Niedersachsen,costs,17.02
03156,costs_nursing_class_1,Niedersachsen,costs,40.18
03156,costs_nursing_class_2,Niedersachsen,costs,51.7
03156,costs_nursing_class_3,Niedersachsen,costs,64.46
03156,food,Niedersachsen,costs,16.67
03157,costs_nursing_class_1,Niedersachsen,costs,40.67
03157,costs_nursing_class_2,Niedersachsen,costs,52.83
03157,costs_nursing_class_3,Niedersachsen,costs,65.53
03157,food,Niedersachsen,costs,16.61
03158,costs_nursing_class_1,Niedersachsen,costs,41.31
03158,costs_nursing_class_2,Niedersachsen,costs,54.56
03158,costs_nursing_class_3,Niedersachsen,costs,68.24
03158,food,Niedersachsen,costs,16.77
03241,costs_nursing_class_1,Niedersachsen,costs,46.63
03241,costs_nursing_class_2,Niedersachsen,costs,60.37
03241,costs_nursing_class_3,Niedersachsen,costs,74.0
03241,food,Niedersachsen,costs,18.79
03251,costs_nursing_class_1,Niedersachsen,costs,43.2
03251,costs_nursing_class_2,Niedersachsen,costs,55.77
03251,costs_nursing_class_3,Niedersachsen,costs,68.58
03251,food,Niedersachsen,costs,16.82
03252,costs_nursing_class_1,Niedersachsen,costs,45.11
03252,costs_nursing_class_2,Niedersachsen,costs,58.12
03252,costs_nursing_class_3,Niedersachsen,costs,72.08
03252,food,Niedersachsen,costs,17.69
03254,costs_nursing_class_1,Niedersachsen,costs,42.16
03254,costs_nursing_class_2,Niedersachsen,costs,54.75
03254,costs_nursing_class_3,Niedersachsen,costs,66.5
03254,food,Niedersachsen,costs,17.01
03255,costs_nursing_class_1,Niedersachsen,costs,41.38
03255,costs_nursing_class_2,Niedersachsen,costs,53.85
03255,costs_nursing_class_3,Niedersachsen,costs,66.69
03255,food,Niedersachsen,costs,16.59
03256,costs_nursing_class_1,Niedersachsen,costs,42.58
03256,costs_nursing_class_2,Niedersachsen,costs,55.57
03256,costs_nursing_class_3,Niedersachsen,costs,68.64
03256,food,Niedersachsen,costs,17.27
03257,costs_nursing_class_1,Niedersachsen,costs,42.63
03257,costs_nursing_class_2,Niedersachsen,costs,55.19
03257,costs_nursing_class_3,Niedersachsen,costs,67.9
03257,food,Niedersachsen,costs,16.67
03351,costs_nursing_class_1,Niedersachsen,costs,42.15
03351,costs_nursing_class_2,Niedersachsen,costs,54.9
03351,costs_nursing_class_3,Niedersachsen,costs,67.64
03351,food,Niedersachsen,costs,17.59
03352,costs_nursing_class_1,Niedersachsen,costs,44.31
03352,costs_nursing_class_2,Niedersachsen,costs,57.58
03352,costs_nursing_class_3,Niedersachsen,costs,71.01
03352,food,Niedersachsen,costs,17.47
03353,costs_nursing_class_1,Niedersachsen,costs,46.39
03353,costs_nursing_class_2,Niedersachsen,costs,59.88
03353,costs_nursing_class_3,Niedersachsen,costs,74.04
03353,food,Niedersachsen,costs,18.28
03354,costs_nursing_class_1,Niedersachsen,costs,45.41
03354,costs_nursing_class_2,Niedersachsen,costs,56.85
03354,costs_nursing_class_3,Niedersachsen,costs,69.47
03354,food,Niedersachsen,costs,18.26
03355,costs_nursing_class_1,Niedersachsen,costs,39.92
03355,costs_nursing_class_2,Niedersachsen,costs,52.5
03355,costs_nursing_class_3,Niedersachsen,costs,65.15
03355,food,Niedersachsen,costs,17.02
03356,costs_nursing_class_1,Niedersachsen,costs,43.18
03356,costs_nursing_class_2,Niedersachsen,costs,55.47
03356,costs_nursing_class_3,Niedersachsen,costs,68.01
03356,food,Niedersachsen,costs,16.73
03357,costs_nursing_class_1,Niedersachsen,costs,43.21
03357,costs_nursing_class_2,Niedersachsen,costs,55.21
03357,costs_nursing_class_3,Niedersachsen,costs,67.95
03357,food,Niedersachsen,costs,17.42
03358,costs_nursing_class_1,Niedersachsen,costs,46.33
03358,costs_nursing_class_2,Niedersachsen,costs,59.63
03358,costs_nursing_class_3,Niedersachsen,costs,73.11
03358,food,Niedersachsen,costs,17.9
03359,costs_nursing_class_1,Niedersachsen,costs,43.0
03359,costs_nursing_class_2,Niedersachsen,costs,56.75
03359,costs_nursing_class_3,Niedersachsen,costs,70.43
03359,food,Niedersachsen,costs,17.42
03360,costs_nursing_class_1,Niedersachsen,costs,39.95
03360,costs_nursing_class_2,Niedersachsen,costs,52.17
03360,costs_nursing_class_3,Niedersachsen,costs,63.34
03360,food,Niedersachsen,costs,17.6
03361,costs_nursing_class_1,Niedersachsen,costs,41.51
03361,costs_nursing_class_2,Niedersachsen,costs,54.38
03361,costs_nursing_class_3,Niedersachsen,costs,67.29
03361,food,Niedersachsen,costs,17.38
03401,costs_nursing_class_1,Niedersachsen,costs,42.85
03401,costs_nursing_class_2,Niedersachsen,costs,56.6
03401,costs_nursing_class_3,Niedersachsen,costs,70.92
03401,food,Niedersachsen,costs,17.26
03402,costs_nursing_class_1,Niedersachsen,costs,44.57
