ags,type,key,value,state
05111,costs,costs_nursing_class_1,47.11,Nordrhein-Westfalen
05111,costs,costs_nursing_class_2,67.22,Nordrhein-Westfalen
05111,costs,costs_nursing_class_3,88.11,Nordrhein-Westfalen
05111,costs,food,30.53,Nordrhein-Westfalen
05112,costs,costs_nursing_class_1,47.69,Nordrhein-Westfalen
05112,costs,costs_nursing_class_2,67.3,Nordrhein-Westfalen
05112,costs,costs_nursing_class_3,87.63,Nordrhein-Westfalen
05112,costs,food,29.26,Nordrhein-Westfalen
05113,costs,costs_nursing_class_1,50.18,Nordrhein-Westfalen
05113,costs,costs_nursing_class_2,70.24,Nordrhein-Westfalen
05113,costs,costs_nursing_class_3,91.06,Nordrhein-Westfalen
05113,costs,food,30.28,Nordrhein-Westfalen
05114,costs,costs_nursing_class_1,51.93,Nordrhein-Westfalen
05114,costs,costs_nursing_class_2,71.59,Nordrhein-Westfalen
05114,costs,costs_nursing_class_3,91.5,Nordrhein-Westfalen
05114,costs,food,32.32,Nordrhein-Westfalen
05116,costs,costs_nursing_class_1,46.96,Nordrhein-Westfalen
05116,costs,costs_nursing_class_2,67.94,Nordrhein-Westfalen
05116,costs,costs_nursing_class_3,88.73,Nordrhein-Westfalen
05116,costs,food,30.99,Nordrhein-Westfalen
05117,costs,costs_nursing_class_1,44.64,Nordrhein-Westfalen
05117,costs,costs_nursing_class_2,65.5,Nordrhein-Westfalen
05117,costs,costs_nursing_class_3,87.02,Nordrhein-Westfalen
05117,costs,food,30.31,Nordrhein-Westfalen
05119,costs,costs_nursing_class_1,44.39,Nordrhein-Westfalen
05119,costs,costs_nursing_class_2,63.46,Nordrhein-Westfalen
05119,costs,costs_nursing_class_3,83.15,Nordrhein-Westfalen
05119,costs,food,28.32,Nordrhein-Westfalen
05120,costs,costs_nursing_class_1,46.48,Nordrhein-Westfalen
05120,costs,costs_nursing_class_2,66.47,Nordrhein-Westfalen
05120,costs,costs_nursing_class_3,86.66,Nordrhein-Westfalen
05120,costs,food,30.33,Nordrhein-Westfalen
05122,costs,costs_nursing_class_1,45.1,Nordrhein-Westfalen
05122,costs,costs_nursing_class_2,64.74,Nordrhein-Westfalen
05122,costs,costs_nursing_class_3,85.24,Nordrhein-Westfalen
05122,costs,food,30.43,Nordrhein-Westfalen
05124,costs,costs_nursing_class_1,47.72,Nordrhein-Westfalen
05124,costs,costs_nursing_class_2,66.96,Nordrhein-Westfalen
05124,costs,costs_nursing_class_3,87.08,Nordrhein-Westfalen
05124,costs,food,30.08,Nordrhein-Westfalen
05154,costs,costs_nursing_class_1,50.58,Nordrhein-Westfalen
05154,costs,costs_nursing_class_2,69.57,Nordrhein-Westfalen
05154,costs,costs_nursing_class_3,89.29,Nordrhein-Westfalen
05154,costs,food,29.93,Nordrhein-Westfalen
05158,costs,costs_nursing_class_1,48.02,Nordrhein-Westfalen
05158,costs,costs_nursing_class_2,67.01,Nordrhein-Westfalen
05158,costs,costs_nursing_class_3,86.69,Nordrhein-Westfalen
05158,costs,food,29.75,Nordrhein-Westfalen
05162,costs,costs_nursing_class_1,47.97,Nordrhein-Westfalen
05162,costs,costs_nursing_class_2,69.0,Nordrhein-Westfalen
05162,costs,costs_nursing_class_3,90.22,Nordrhein-Westfalen
05162,costs,food,30.37,Nordrhein-Westfalen
05166,costs,costs_nursing_class_1,45.87,Nordrhein-Westfalen
05166,costs,costs_nursing_class_2,66.62,Nordrhein-Westfalen
05166,costs,costs_nursing_class_3,87.52,Nordrhein-Westfalen
05166,costs,food,30.2,Nordrhein-Westfalen
05170,costs,costs_nursing_class_1,47.15,Nordrhein-Westfalen
05170,costs,costs_nursing_class_2,66.19,Nordrhein-Westfalen
05170,costs,costs_nursing_class_3,85.61,Nordrhein-Westfalen
05170,costs,food,29.8,Nordrhein-Westfalen
05314,costs,costs_nursing_class_1,49.26,Nordrhein-Westfalen
05314,costs,costs_nursing_class_2,68.6,Nordrhein-Westfalen
05314,costs,costs_nursing_class_3,89.32,Nordrhein-Westfalen
05314,costs,food,31.1,Nordrhein-Westfalen
05315,costs,costs_nursing_class_1,51.84,Nordrhein-Westfalen
05315,costs,costs_nursing_class_2,71.16,Nordrhein-Westfalen
05315,costs,costs_nursing_class_3,90.71,Nordrhein-Westfalen
05315,costs,food,31.01,Nordrhein-Westfalen
05316,costs,costs_nursing_class_1,54.66,Nordrhein-Westfalen
05316,costs,costs_nursing_class_2,74.3,Nordrhein-Westfalen
05316,costs,costs_nursing_class_3,94.81,Nordrhein-Westfalen
05316,costs,food,30.1,Nordrhein-Westfalen
05334,costs,costs_nursing_class_1,46.3,Nordrhein-Westfalen
05334,costs,costs_nursing_class_2,66.81,Nordrhein-Westfalen
05334,costs,costs_nursing_class_3,88.17,Nordrhein-Westfalen
05334,costs,food,30.39,Nordrhein-Westfalen
05358,costs,costs_nursing_class_1,46.32,Nordrhein-Westfalen
05358,costs,costs_nursing_class_2,65.53,Nordrhein-Westfalen
05358,costs,costs_nursing_class_3,85.8,Nordrhein-Westfalen
05358,costs,food,30.57,Nordrhein-Westfalen
05362,costs,costs_nursing_class_1,47.01,Nordrhein-Westfalen
05362,costs,costs_nursing_class_2,66.36,Nordrhein-Westfalen
05362,costs,costs_nursing_class_3,86.44,Nordrhein-Westfalen
05362,costs,food,29.23,Nordrhein-Westfalen
05366,costs,costs_nursing_class_1,48.58,Nordrhein-Westfalen
05366,costs,costs_nursing_class_2,66.99,Nordrhein-Westfalen
05366,costs,costs_nursing_class_3,86.19,Nordrhein-Westfalen
05366,costs,food,29.74,Nordrhein-Westfalen
05370,costs,costs_nursing_class_1,46.39,Nordrhein-Westfalen
05370,costs,costs_nursing_class_2,64.8,Nordrhein-Westfalen
