ags,type,key,value,state
10041,costs,costs_nursing_class_1, 50.97,Saarland
10041,costs,costs_nursing_class_2, 69.33,Saarland
10041,costs,costs_nursing_class_3, 87.88,Saarland
10041,costs,food, 24.59,Saarland
10042,costs,costs_nursing_class_1, 50.55,Saarland
10042,costs,costs_nursing_class_2, 69.46,Saarland
10042,costs,costs_nursing_class_3, 89.74,Saarland
10042,costs,food, 24.23,Saarland
10043,costs,costs_nursing_class_1, 53.29,Saarland
10043,costs,costs_nursing_class_2, 73.03,Saarland
10043,costs,costs_nursing_class_3, 93.11,Saarland
10043,costs,food, 25.62,Saarland
10044,costs,costs_nursing_class_1, 48.21,Saarland
10044,costs,costs_nursing_class_2, 66.02,Saarland
10044,costs,costs_nursing_class_3, 84.00,Saarland
10044,costs,food, 24.30,Saarland
10045,costs,costs_nursing_class_1, 50.50,Saarland
10045,costs,costs_nursing_class_2, 68.78,Saarland
10045,costs,costs_nursing_class_3, 87.17,Saarland
10045,costs,food, 24.58,Saarland
10046,costs,costs_nursing_class_1, 53.96,Saarland
10046,costs,costs_nursing_class_2, 72.22,Saarland
10046,costs,costs_nursing_class_3, 90.92,Saarland
10046,costs,food, 25.40,Saarland
10041,beds,1-bed,1660,Saarland
10041,beds,2-bed,2341,Saarland
10041,beds,3-bed,0,Saarland
10041,beds,4-bed,0,Saarland
10042,beds,1-bed,651,Saarland
10042,beds,2-bed,776,Saarland
10042,beds,3-bed,135,Saarland
10042,beds,4-bed,0,Saarland
10043,beds,1-bed,758,Saarland
10043,beds,2-bed,876,Saarland
10043,beds,3-bed,162,Saarland
10043,beds,4-bed,0,Saarland
10044,beds,1-bed,991,Saarland
10044,beds,2-bed,1000,Saarland
10044,beds,3-bed,0,Saarland
10044,beds,4-bed,0,Saarland
10045,beds,1-bed,773,Saarland
10045,beds,2-bed,878,Saarland
10045,beds,3-bed,3,Saarland
10045,beds,4-bed,4,Saarland
10046,beds,1-bed,522,Saarland
10046,beds,2-bed,503,Saarland
10046,beds,3-bed,0,Saarland
10046,beds,4-bed,0,Saarland
10041,recipients,recipients_nursing_class_1,1501,Saarland
10041,recipients,recipients_nursing_class_2,1172,Saarland
10041,recipients,recipients_nursing_class_3,453,Saarland
10041,recipients,recipients_nursing_class_unknown,219,Saarland
10042,recipients,recipients_nursing_class_1,552,Saarland
10042,recipients,recipients_nursing_class_2,472,Saarland
10042,recipients,recipients_nursing_class_3,198,Saarland
10042,recipients,recipients_nursing_class_unknown,71,Saarland
10043,recipients,recipients_nursing_class_1,630,Saarland
10043,recipients,recipients_nursing_class_2,536,Saarland
10043,recipients,recipients_nursing_class_3,357,Saarland
10043,recipients,recipients_nursing_class_unknown,61,Saarland
10044,recipients,recipients_nursing_class_1,804,Saarland
10044,recipients,recipients_nursing_class_2,659,Saarland
10044,recipients,recipients_nursing_class_3,274,Saarland
10044,recipients,recipients_nursing_class_unknown,72,Saarland
10045,recipients,recipients_nursing_class_1,607,Saarland
10045,recipients,recipients_nursing_class_2,464,Saarland
10045,recipients,recipients_nursing_class_3,214,Saarland
10045,recipients,recipients_nursing_class_unknown,87,Saarland
10046,recipients,recipients_nursing_class_1,389,Saarland
10046,recipients,recipients_nursing_class_2,345,Saarland
10046,recipients,recipients_nursing_class_3,103,Saarland
10046,recipients,recipients_nursing_class_unknown,53,Saarland
10041,personal,total_personnel,2878,Saarland
10041,personal,fully_employed,565,Saarland
10041,personal,part-time,251,Saarland
10041,personal,nursing_and_care,1778,Saarland
10041,personal,social_care,99,Saarland
10041,personal,other_care,104,Saarland
10042,personal,total_personnel,1165,Saarland
10042,personal,fully_employed,239,Saarland
10042,personal,part-time,128,Saarland
10042,personal,nursing_and_care,789,Saarland
10042,personal,social_care,48,Saarland
10042,personal,other_care,40,Saarland
10043,personal,total_personnel,1646,Saarland
10043,personal,fully_employed,263,Saarland
10043,personal,part-time,130,Saarland
10043,personal,nursing_and_care,993,Saarland
10043,personal,social_care,99,Saarland
10043,personal,other_care,61,Saarland
10044,personal,total_personnel,1591,Saarland
10044,personal,fully_employed,283,Saarland
10044,personal,part-time,189,Saarland
10044,personal,nursing_and_care,1043,Saarland
10044,personal,social_care,66,Saarland
10044,personal,other_care,67,Saarland
10045,personal,total_personnel,1174,Saarland
10045,personal,fully_employed,209,Saarland
10045,personal,part-time,135,Saarland
10045,personal,nursing_and_care,796,Saarland
10045,personal,social_care,47,Saarland
10045,personal,other_care,52,Saarland
10046,personal,total_personnel,1025,Saarland
10046,personal,fully_employed,145,Saarland
10046,personal,part-time,145,Saarland
10046,personal,nursing_and_care,572,Saarland
10046,personal,social_care,49,Saarland
10046,personal,other_care,31,Saarland
