ags,type,key,value,state
15001,costs,costs_nursing_class_1,40.63,Sachsen-Anhalt
15001,costs,costs_nursing_class_2,52.39,Sachsen-Anhalt
15001,costs,costs_nursing_class_3,63.32,Sachsen-Anhalt
15001,costs,food,16.25,Sachsen-Anhalt
15002,costs,costs_nursing_class_1,41.05,Sachsen-Anhalt
15002,costs,costs_nursing_class_2,52.78,Sachsen-Anhalt
15002,costs,costs_nursing_class_3,63.09,Sachsen-Anhalt
15002,costs,food,16.21,Sachsen-Anhalt
15003,costs,costs_nursing_class_1,39.22,Sachsen-Anhalt
15003,costs,costs_nursing_class_2,51.69,Sachsen-Anhalt
15003,costs,costs_nursing_class_3,62.0,Sachsen-Anhalt
15003,costs,food,16.25,Sachsen-Anhalt
15081,costs,costs_nursing_class_1,40.81,Sachsen-Anhalt
15081,costs,costs_nursing_class_2,53.49,Sachsen-Anhalt
15081,costs,costs_nursing_class_3,62.31,Sachsen-Anhalt
15081,costs,food,16.57,Sachsen-Anhalt
15082,costs,costs_nursing_class_1,37.88,Sachsen-Anhalt
15082,costs,costs_nursing_class_2,50.6,Sachsen-Anhalt
15082,costs,costs_nursing_class_3,60.99,Sachsen-Anhalt
15082,costs,food,16.27,Sachsen-Anhalt
15083,costs,costs_nursing_class_1,37.99,Sachsen-Anhalt
15083,costs,costs_nursing_class_2,50.99,Sachsen-Anhalt
15083,costs,costs_nursing_class_3,60.53,Sachsen-Anhalt
15083,costs,food,16.19,Sachsen-Anhalt
15084,costs,costs_nursing_class_1,37.48,Sachsen-Anhalt
15084,costs,costs_nursing_class_2,50.05,Sachsen-Anhalt
15084,costs,costs_nursing_class_3,60.65,Sachsen-Anhalt
15084,costs,food,16.53,Sachsen-Anhalt
15085,costs,costs_nursing_class_1,40.25,Sachsen-Anhalt
15085,costs,costs_nursing_class_2,52.07,Sachsen-Anhalt
15085,costs,costs_nursing_class_3,61.92,Sachsen-Anhalt
15085,costs,food,16.38,Sachsen-Anhalt
15086,costs,costs_nursing_class_1,38.89,Sachsen-Anhalt
15086,costs,costs_nursing_class_2,50.7,Sachsen-Anhalt
15086,costs,costs_nursing_class_3,61.51,Sachsen-Anhalt
15086,costs,food,15.85,Sachsen-Anhalt
15087,costs,costs_nursing_class_1,36.93,Sachsen-Anhalt
15087,costs,costs_nursing_class_2,49.73,Sachsen-Anhalt
15087,costs,costs_nursing_class_3,61.36,Sachsen-Anhalt
15087,costs,food,16.53,Sachsen-Anhalt
15088,costs,costs_nursing_class_1,36.92,Sachsen-Anhalt
15088,costs,costs_nursing_class_2,49.21,Sachsen-Anhalt
15088,costs,costs_nursing_class_3,59.86,Sachsen-Anhalt
15088,costs,food,16.61,Sachsen-Anhalt
15089,costs,costs_nursing_class_1,38.48,Sachsen-Anhalt
15089,costs,costs_nursing_class_2,50.21,Sachsen-Anhalt
15089,costs,costs_nursing_class_3,59.64,Sachsen-Anhalt
15089,costs,food,16.36,Sachsen-Anhalt
15090,costs,costs_nursing_class_1,38.99,Sachsen-Anhalt
15090,costs,costs_nursing_class_2,51.57,Sachsen-Anhalt
15090,costs,costs_nursing_class_3,61.51,Sachsen-Anhalt
15090,costs,food,16.42,Sachsen-Anhalt
15091,costs,costs_nursing_class_1,39.82,Sachsen-Anhalt
15091,costs,costs_nursing_class_2,52.4,Sachsen-Anhalt
15091,costs,costs_nursing_class_3,63.34,Sachsen-Anhalt
15091,costs,food,16.66,Sachsen-Anhalt
15001,beds,1-bed,758.0,Sachsen-Anhalt
15001,beds,2-bed,481.0,Sachsen-Anhalt
15001,beds,3-bed,43.0,Sachsen-Anhalt
15001,beds,4-bed,0.0,Sachsen-Anhalt
15002,beds,1-bed,1808.0,Sachsen-Anhalt
15002,beds,2-bed,1150.0,Sachsen-Anhalt
15002,beds,3-bed,27.0,Sachsen-Anhalt
15002,beds,4-bed,0.0,Sachsen-Anhalt
15003,beds,1-bed,1715.0,Sachsen-Anhalt
15003,beds,2-bed,1265.0,Sachsen-Anhalt
15003,beds,3-bed,0.0,Sachsen-Anhalt
15003,beds,4-bed,0.0,Sachsen-Anhalt
15081,beds,1-bed,620.0,Sachsen-Anhalt
15081,beds,2-bed,414.0,Sachsen-Anhalt
15081,beds,3-bed,0.0,Sachsen-Anhalt
15081,beds,4-bed,0.0,Sachsen-Anhalt
15082,beds,1-bed,1087.0,Sachsen-Anhalt
15082,beds,2-bed,838.0,Sachsen-Anhalt
15082,beds,3-bed,16.0,Sachsen-Anhalt
15082,beds,4-bed,0.0,Sachsen-Anhalt
15083,beds,1-bed,1178.0,Sachsen-Anhalt
15083,beds,2-bed,1014.0,Sachsen-Anhalt
15083,beds,3-bed,36.0,Sachsen-Anhalt
15083,beds,4-bed,4.0,Sachsen-Anhalt
15084,beds,1-bed,1471.0,Sachsen-Anhalt
15084,beds,2-bed,1175.0,Sachsen-Anhalt
15084,beds,3-bed,36.0,Sachsen-Anhalt
15084,beds,4-bed,0.0,Sachsen-Anhalt
15085,beds,1-bed,2269.0,Sachsen-Anhalt
15085,beds,2-bed,1436.0,Sachsen-Anhalt
15085,beds,3-bed,19.0,Sachsen-Anhalt
15085,beds,4-bed,0.0,Sachsen-Anhalt
15086,beds,1-bed,894.0,Sachsen-Anhalt
15086,beds,2-bed,623.0,Sachsen-Anhalt
15086,beds,3-bed,9.0,Sachsen-Anhalt
15086,beds,4-bed,0.0,Sachsen-Anhalt
15087,beds,1-bed,1031.0,Sachsen-Anhalt
15087,beds,2-bed,757.0,Sachsen-Anhalt
15087,beds,3-bed,9.0,Sachsen-Anhalt
15087,beds,4-bed,7.0,Sachsen-Anhalt
15088,beds,1-bed,866.0,Sachsen-Anhalt
15088,beds,2-bed,683.0,Sachsen-Anhalt
15088,beds,3-bed,0.0,Sachsen-Anhalt
15088,beds,4-bed,0.0,Sachsen-Anhalt
15089,beds,1-bed,1783.0,Sachsen-Anhalt
15089,beds,2-bed,1302.0,Sachsen-Anhalt
15089,beds,3-bed,39.0,Sachsen-Anhalt
15089,beds,4-bed,0.0,Sachsen-Anhalt
15090,beds,1-bed,822.0,Sachsen-Anhalt
15090,beds,2-bed,812.0,Sachsen-Anhalt
15090,beds,3-bed,0.0,Sachsen-Anhalt
15090,beds,4-bed,0.0,Sachsen-Anhalt
15091,beds,1-bed,976.0,Sachsen-Anhalt
15091,beds,2-bed,462.0,Sachsen-Anhalt
15091,beds,3-bed,0.0,Sachsen-Anhalt
15091,beds,4-bed,0.0,Sachsen-Anhalt
15001,personal,total_personnel,786.0,Sachsen-Anhalt
15001,personal,nursing_and_care,552.0,Sachsen-Anhalt
15001,personal,social_care,42.0,Sachsen-Anhalt
15001,personal,other_care,29.0,Sachsen-Anhalt
15001,personal,fully_employed,323.0,Sachsen-Anhalt
15001,personal,part-time,433.0,Sachsen-Anhalt
15002,personal,total_personnel,1914.0,Sachsen-Anhalt
15002,personal,nursing_and_care,1491.0,Sachsen-Anhalt
15002,personal,social_care,75.0,Sachsen-Anhalt
15002,personal,other_care,95.0,Sachsen-Anhalt
15002,personal,fully_employed,716.0,Sachsen-Anhalt
15002,personal,part-time,1055.0,Sachsen-Anhalt
15003,personal,total_personnel,1826.0,Sachsen-Anhalt
15003,personal,nursing_and_care,1365.0,Sachsen-Anhalt
15003,personal,social_care,77.0,Sachsen-Anhalt
15003,personal,other_care,94.0,Sachsen-Anhalt
15003,personal,fully_employed,578.0,Sachsen-Anhalt
15003,personal,part-time,1119.0,Sachsen-Anhalt
15081,personal,total_personnel,713.0,Sachsen-Anhalt
15081,personal,nursing_and_care,491.0,Sachsen-Anhalt
15081,personal,social_care,36.0,Sachsen-Anhalt
15081,personal,other_care,33.0,Sachsen-Anhalt
15081,personal,fully_employed,178.0,Sachsen-Anhalt
15081,personal,part-time,497.0,Sachsen-Anhalt
15082,personal,total_personnel,1339.0,Sachsen-Anhalt
15082,personal,nursing_and_care,941.0,Sachsen-Anhalt
15082,personal,social_care,53.0,Sachsen-Anhalt
15082,personal,other_care,59.0,Sachsen-Anhalt
15082,personal,fully_employed,437.0,Sachsen-Anhalt
15082,personal,part-time,821.0,Sachsen-Anhalt
15083,personal,total_personnel,1471.0,Sachsen-Anhalt
15083,personal,nursing_and_care,1041.0,Sachsen-Anhalt
15083,personal,social_care,62.0,Sachsen-Anhalt
15083,personal,other_care,59.0,Sachsen-Anhalt
15083,personal,fully_employed,447.0,Sachsen-Anhalt
15083,personal,part-time,953.0,Sachsen-Anhalt
15084,personal,total_personnel,1813.0,Sachsen-Anhalt
15084,personal,nursing_and_care,1384.0,Sachsen-Anhalt
15084,personal,social_care,78.0,Sachsen-Anhalt
15084,personal,other_care,106.0,Sachsen-Anhalt
15084,personal,fully_employed,426.0,Sachsen-Anhalt
15084,personal,part-time,1242.0,Sachsen-Anhalt
15085,personal,total_personnel,2573.0,Sachsen-Anhalt
15085,personal,nursing_and_care,1726.0,Sachsen-Anhalt
15085,personal,social_care,118.0,Sachsen-Anhalt
15085,personal,other_care,117.0,Sachsen-Anhalt
15085,personal,fully_employed,675.0,Sachsen-Anhalt
15085,personal,part-time,1783.0,Sachsen-Anhalt
15086,personal,total_personnel,1046.0,Sachsen-Anhalt
15086,personal,nursing_and_care,743.0,Sachsen-Anhalt
15086,personal,social_care,42.0,Sachsen-Anhalt
15086,personal,other_care,41.0,Sachsen-Anhalt
15086,personal,fully_employed,300.0,Sachsen-Anhalt
15086,personal,part-time,669.0,Sachsen-Anhalt
15087,personal,total_personnel,1298.0,Sachsen-Anhalt
15087,personal,nursing_and_care,910.0,Sachsen-Anhalt
15087,personal,social_care,55.0,Sachsen-Anhalt
15087,personal,other_care,61.0,Sachsen-Anhalt
15087,personal,fully_employed,234.0,Sachsen-Anhalt
15087,personal,part-time,985.0,Sachsen-Anhalt
15088,personal,total_personnel,1082.0,Sachsen-Anhalt
15088,personal,nursing_and_care,802.0,Sachsen-Anhalt
15088,personal,social_care,43.0,Sachsen-Anhalt
15088,personal,other_care,46.0,Sachsen-Anhalt
15088,personal,fully_employed,277.0,Sachsen-Anhalt
15088,personal,part-time,716.0,Sachsen-Anhalt
15089,personal,total_personnel,2238.0,Sachsen-Anhalt
15089,personal,nursing_and_care,1495.0,Sachsen-Anhalt
15089,personal,social_care,78.0,Sachsen-Anhalt
15089,personal,other_care,85.0,Sachsen-Anhalt
15089,personal,fully_employed,586.0,Sachsen-Anhalt
15089,personal,part-time,1507.0,Sachsen-Anhalt
15090,personal,total_personnel,1011.0,Sachsen-Anhalt
15090,personal,nursing_and_care,728.0,Sachsen-Anhalt
15090,personal,social_care,34.0,Sachsen-Anhalt
15090,personal,other_care,53.0,Sachsen-Anhalt
15090,personal,fully_employed,251.0,Sachsen-Anhalt
15090,personal,part-time,710.0,Sachsen-Anhalt
15091,personal,total_personnel,961.0,Sachsen-Anhalt
15091,personal,nursing_and_care,718.0,Sachsen-Anhalt
15091,personal,social_care,39.0,Sachsen-Anhalt
15091,personal,other_care,57.0,Sachsen-Anhalt
15091,personal,fully_employed,162.0,Sachsen-Anhalt
15091,personal,part-time,745.0,Sachsen-Anhalt
15001,recipients,recipients_nursing_class_1,438.0,Sachsen-Anhalt
15001,recipients,recipients_nursing_class_2,476.0,Sachsen-Anhalt
15001,recipients,recipients_nursing_class_3,163.0,Sachsen-Anhalt
15001,recipients,recipients_nursing_class_unknown,21.0,Sachsen-Anhalt
15002,recipients,recipients_nursing_class_1,848.0,Sachsen-Anhalt
15002,recipients,recipients_nursing_class_2,1401.0,Sachsen-Anhalt
15002,recipients,recipients_nursing_class_3,594.0,Sachsen-Anhalt
15002,recipients,recipients_nursing_class_unknown,18.0,Sachsen-Anhalt
15003,recipients,recipients_nursing_class_1,1003.0,Sachsen-Anhalt
15003,recipients,recipients_nursing_class_2,1209.0,Sachsen-Anhalt
15003,recipients,recipients_nursing_class_3,597.0,Sachsen-Anhalt
15003,recipients,recipients_nursing_class_unknown,45.0,Sachsen-Anhalt
15081,recipients,recipients_nursing_class_1,306.0,Sachsen-Anhalt
15081,recipients,recipients_nursing_class_2,466.0,Sachsen-Anhalt
15081,recipients,recipients_nursing_class_3,,Sachsen-Anhalt
15081,recipients,recipients_nursing_class_unknown,,Sachsen-Anhalt
15082,recipients,recipients_nursing_class_1,631.0,Sachsen-Anhalt
15082,recipients,recipients_nursing_class_2,878.0,Sachsen-Anhalt
15082,recipients,recipients_nursing_class_3,324.0,Sachsen-Anhalt
15082,recipients,recipients_nursing_class_unknown,9.0,Sachsen-Anhalt
15083,recipients,recipients_nursing_class_1,737.0,Sachsen-Anhalt
15083,recipients,recipients_nursing_class_2,902.0,Sachsen-Anhalt
15083,recipients,recipients_nursing_class_3,428.0,Sachsen-Anhalt
15083,recipients,recipients_nursing_class_unknown,24.0,Sachsen-Anhalt
15084,recipients,recipients_nursing_class_1,791.0,Sachsen-Anhalt
15084,recipients,recipients_nursing_class_2,1339.0,Sachsen-Anhalt
15084,recipients,recipients_nursing_class_3,486.0,Sachsen-Anhalt
15084,recipients,recipients_nursing_class_unknown,20.0,Sachsen-Anhalt
15085,recipients,recipients_nursing_class_1,1274.0,Sachsen-Anhalt
15085,recipients,recipients_nursing_class_2,1595.0,Sachsen-Anhalt
15085,recipients,recipients_nursing_class_3,643.0,Sachsen-Anhalt
15085,recipients,recipients_nursing_class_unknown,23.0,Sachsen-Anhalt
15086,recipients,recipients_nursing_class_1,474.0,Sachsen-Anhalt
15086,recipients,recipients_nursing_class_2,659.0,Sachsen-Anhalt
15086,recipients,recipients_nursing_class_3,,Sachsen-Anhalt
15086,recipients,recipients_nursing_class_unknown,,Sachsen-Anhalt
15087,recipients,recipients_nursing_class_1,509.0,Sachsen-Anhalt
15087,recipients,recipients_nursing_class_2,833.0,Sachsen-Anhalt
15087,recipients,recipients_nursing_class_3,347.0,Sachsen-Anhalt
15087,recipients,recipients_nursing_class_unknown,50.0,Sachsen-Anhalt
15088,recipients,recipients_nursing_class_1,472.0,Sachsen-Anhalt
15088,recipients,recipients_nursing_class_2,716.0,Sachsen-Anhalt
15088,recipients,recipients_nursing_class_3,273.0,Sachsen-Anhalt
15088,recipients,recipients_nursing_class_unknown,8.0,Sachsen-Anhalt
15089,recipients,recipients_nursing_class_1,1048.0,Sachsen-Anhalt
15089,recipients,recipients_nursing_class_2,1282.0,Sachsen-Anhalt
15089,recipients,recipients_nursing_class_3,508.0,Sachsen-Anhalt
15089,recipients,recipients_nursing_class_unknown,36.0,Sachsen-Anhalt
15090,recipients,recipients_nursing_class_1,524.0,Sachsen-Anhalt
15090,recipients,recipients_nursing_class_2,648.0,Sachsen-Anhalt
15090,recipients,recipients_nursing_class_3,289.0,Sachsen-Anhalt
15090,recipients,recipients_nursing_class_unknown,38.0,Sachsen-Anhalt
15091,recipients,recipients_nursing_class_1,477.0,Sachsen-Anhalt
15091,recipients,recipients_nursing_class_2,608.0,Sachsen-Anhalt
15091,recipients,recipients_nursing_class_3,265.0,Sachsen-Anhalt
15091,recipients,recipients_nursing_class_unknown,6.0,Sachsen-Anhalt
