ags,type,key,value,state
14511,costs,costs_nursing_class_3,65.28,Sachsen
14511,costs,costs_nursing_class_2,49.03,Sachsen
14511,costs,food,15.24,Sachsen
14511,costs,costs_nursing_class_1,37.42,Sachsen
14521,costs,costs_nursing_class_3,65.36,Sachsen
14521,costs,costs_nursing_class_2,48.74,Sachsen
14521,costs,food,15.55,Sachsen
14521,costs,costs_nursing_class_1,36.88,Sachsen
14522,costs,costs_nursing_class_3,64.92,Sachsen
14522,costs,costs_nursing_class_2,48.17,Sachsen
14522,costs,food,15.24,Sachsen
14522,costs,costs_nursing_class_1,36.67,Sachsen
14523,costs,costs_nursing_class_3,64.99,Sachsen
14523,costs,costs_nursing_class_2,48.38,Sachsen
14523,costs,food,15.32,Sachsen
14523,costs,costs_nursing_class_1,36.66,Sachsen
14524,costs,costs_nursing_class_3,64.26,Sachsen
14524,costs,costs_nursing_class_2,48.06,Sachsen
14524,costs,food,15.22,Sachsen
14524,costs,costs_nursing_class_1,37.08,Sachsen
14612,costs,costs_nursing_class_3,66.01,Sachsen
14612,costs,costs_nursing_class_2,49.13,Sachsen
14612,costs,food,15.06,Sachsen
14612,costs,costs_nursing_class_1,37.59,Sachsen
14625,costs,costs_nursing_class_3,72.34,Sachsen
14625,costs,costs_nursing_class_2,52.22,Sachsen
14625,costs,food,16.28,Sachsen
14625,costs,costs_nursing_class_1,39.52,Sachsen
14626,costs,costs_nursing_class_3,67.68,Sachsen
14626,costs,costs_nursing_class_2,49.86,Sachsen
14626,costs,food,16.14,Sachsen
14626,costs,costs_nursing_class_1,37.22,Sachsen
14627,costs,costs_nursing_class_3,66.64,Sachsen
14627,costs,costs_nursing_class_2,49.03,Sachsen
14627,costs,food,16.14,Sachsen
14627,costs,costs_nursing_class_1,37.79,Sachsen
14628,costs,costs_nursing_class_3,65.65,Sachsen
14628,costs,costs_nursing_class_2,48.46,Sachsen
14628,costs,food,15.65,Sachsen
14628,costs,costs_nursing_class_1,36.63,Sachsen
14713,costs,costs_nursing_class_3,64.64,Sachsen
14713,costs,costs_nursing_class_2,48.12,Sachsen
14713,costs,food,14.73,Sachsen
14713,costs,costs_nursing_class_1,36.97,Sachsen
14729,costs,costs_nursing_class_3,67.37,Sachsen
14729,costs,costs_nursing_class_2,50.32,Sachsen
14729,costs,food,15.64,Sachsen
14729,costs,costs_nursing_class_1,38.5,Sachsen
14730,costs,costs_nursing_class_3,64.67,Sachsen
14730,costs,costs_nursing_class_2,48.28,Sachsen
14730,costs,food,15.3,Sachsen
14730,costs,costs_nursing_class_1,36.85,Sachsen
14511,beds,4-bed,0.0,Sachsen
14511,beds,3-bed,0.0,Sachsen
14511,beds,1-bed,1938.0,Sachsen
14511,beds,2-bed,1280.0,Sachsen
14521,beds,4-bed,0.0,Sachsen
14521,beds,3-bed,32.0,Sachsen
14521,beds,1-bed,2475.0,Sachsen
14521,beds,2-bed,1480.0,Sachsen
14522,beds,4-bed,0.0,Sachsen
14522,beds,3-bed,6.0,Sachsen
14522,beds,1-bed,2394.0,Sachsen
14522,beds,2-bed,1331.0,Sachsen
14523,beds,4-bed,0.0,Sachsen
14523,beds,3-bed,0.0,Sachsen
14523,beds,1-bed,2081.0,Sachsen
14523,beds,2-bed,1144.0,Sachsen
14524,beds,4-bed,0.0,Sachsen
14524,beds,3-bed,15.0,Sachsen
14524,beds,1-bed,2337.0,Sachsen
14524,beds,2-bed,2342.0,Sachsen
14612,beds,4-bed,0.0,Sachsen
14612,beds,3-bed,0.0,Sachsen
14612,beds,1-bed,3184.0,Sachsen
14612,beds,2-bed,2361.0,Sachsen
