ags,type,key,value,state
01001,personal,total_personnel,765.0,Schleswig-Holstein
01001,personal,nursing_and_care,497.0,Schleswig-Holstein
01001,personal,social_care,36.0,Schleswig-Holstein
01001,personal,other_care,31.0,Schleswig-Holstein
01001,personal,fully_employed,218.0,Schleswig-Holstein
01001,personal,part-time,475.0,Schleswig-Holstein
01002,personal,total_personnel,1604.0,Schleswig-Holstein
01002,personal,nursing_and_care,1140.0,Schleswig-Holstein
01002,personal,social_care,95.0,Schleswig-Holstein
01002,personal,other_care,56.0,Schleswig-Holstein
01002,personal,fully_employed,511.0,Schleswig-Holstein
01002,personal,part-time,983.0,Schleswig-Holstein
01003,personal,total_personnel,2677.0,Schleswig-Holstein
01003,personal,nursing_and_care,1672.0,Schleswig-Holstein
01003,personal,social_care,124.0,Schleswig-Holstein
01003,personal,other_care,99.0,Schleswig-Holstein
01003,personal,fully_employed,936.0,Schleswig-Holstein
01003,personal,part-time,1570.0,Schleswig-Holstein
01004,personal,total_personnel,840.0,Schleswig-Holstein
01004,personal,nursing_and_care,594.0,Schleswig-Holstein
01004,personal,social_care,36.0,Schleswig-Holstein
01004,personal,other_care,29.0,Schleswig-Holstein
01004,personal,fully_employed,355.0,Schleswig-Holstein
01004,personal,part-time,418.0,Schleswig-Holstein
01051,personal,total_personnel,1616.0,Schleswig-Holstein
01051,personal,nursing_and_care,970.0,Schleswig-Holstein
01051,personal,social_care,58.0,Schleswig-Holstein
01051,personal,other_care,58.0,Schleswig-Holstein
01051,personal,fully_employed,445.0,Schleswig-Holstein
01051,personal,part-time,1038.0,Schleswig-Holstein
01053,personal,total_personnel,2050.0,Schleswig-Holstein
01053,personal,nursing_and_care,1271.0,Schleswig-Holstein
01053,personal,social_care,94.0,Schleswig-Holstein
01053,personal,other_care,75.0,Schleswig-Holstein
01053,personal,fully_employed,804.0,Schleswig-Holstein
01053,personal,part-time,1132.0,Schleswig-Holstein
01054,personal,total_personnel,1520.0,Schleswig-Holstein
01054,personal,nursing_and_care,910.0,Schleswig-Holstein
01054,personal,social_care,60.0,Schleswig-Holstein
01054,personal,other_care,64.0,Schleswig-Holstein
01054,personal,fully_employed,446.0,Schleswig-Holstein
01054,personal,part-time,1008.0,Schleswig-Holstein
01055,personal,total_personnel,2438.0,Schleswig-Holstein
01055,personal,nursing_and_care,1590.0,Schleswig-Holstein
01055,personal,social_care,94.0,Schleswig-Holstein
01055,personal,other_care,110.0,Schleswig-Holstein
01055,personal,fully_employed,1128.0,Schleswig-Holstein
01055,personal,part-time,1159.0,Schleswig-Holstein
01056,personal,total_personnel,2554.0,Schleswig-Holstein
01056,personal,nursing_and_care,1710.0,Schleswig-Holstein
01056,personal,social_care,101.0,Schleswig-Holstein
01056,personal,other_care,117.0,Schleswig-Holstein
01056,personal,fully_employed,1025.0,Schleswig-Holstein
01056,personal,part-time,1416.0,Schleswig-Holstein
01057,personal,total_personnel,1247.0,Schleswig-Holstein
01057,personal,nursing_and_care,864.0,Schleswig-Holstein
01057,personal,social_care,38.0,Schleswig-Holstein
01057,personal,other_care,53.0,Schleswig-Holstein
01057,personal,fully_employed,460.0,Schleswig-Holstein
01057,personal,part-time,704.0,Schleswig-Holstein
01058,personal,total_personnel,2626.0,Schleswig-Holstein
01058,personal,nursing_and_care,1604.0,Schleswig-Holstein
01058,personal,social_care,118.0,Schleswig-Holstein
01058,personal,other_care,110.0,Schleswig-Holstein
01058,personal,fully_employed,794.0,Schleswig-Holstein
01058,personal,part-time,1658.0,Schleswig-Holstein
01059,personal,total_personnel,2405.0,Schleswig-Holstein
01059,personal,nursing_and_care,1548.0,Schleswig-Holstein
01059,personal,social_care,107.0,Schleswig-Holstein
01059,personal,other_care,92.0,Schleswig-Holstein
01059,personal,fully_employed,621.0,Schleswig-Holstein
01059,personal,part-time,1603.0,Schleswig-Holstein
01060,personal,total_personnel,3239.0,Schleswig-Holstein
01060,personal,nursing_and_care,1971.0,Schleswig-Holstein
01060,personal,social_care,176.0,Schleswig-Holstein
01060,personal,other_care,121.0,Schleswig-Holstein
01060,personal,fully_employed,1414.0,Schleswig-Holstein
01060,personal,part-time,1657.0,Schleswig-Holstein
01061,personal,total_personnel,1476.0,Schleswig-Holstein
01061,personal,nursing_and_care,915.0,Schleswig-Holstein
01061,personal,social_care,48.0,Schleswig-Holstein
01061,personal,other_care,64.0,Schleswig-Holstein
01061,personal,fully_employed,604.0,Schleswig-Holstein
01061,personal,part-time,787.0,Schleswig-Holstein
01062,personal,total_personnel,2650.0,Schleswig-Holstein
01062,personal,nursing_and_care,1614.0,Schleswig-Holstein
01062,personal,social_care,116.0,Schleswig-Holstein
01062,personal,other_care,97.0,Schleswig-Holstein
01062,personal,fully_employed,1058.0,Schleswig-Holstein
01062,personal,part-time,1452.0,Schleswig-Holstein
01001,costs,costs_nursing_class_1,47.12,Schleswig-Holstein
01001,costs,costs_nursing_class_2,57.87,Schleswig-Holstein
01001,costs,costs_nursing_class_3,69.61,Schleswig-Holstein
01001,costs,food,21.57,Schleswig-Holstein
01002,costs,costs_nursing_class_1,45.79,Schleswig-Holstein
01002,costs,costs_nursing_class_2,57.32,Schleswig-Holstein
01002,costs,costs_nursing_class_3,70.23,Schleswig-Holstein
01002,costs,food,21.77,Schleswig-Holstein
01003,costs,costs_nursing_class_1,44.43,Schleswig-Holstein
01003,costs,costs_nursing_class_2,56.91,Schleswig-Holstein
01003,costs,costs_nursing_class_3,69.56,Schleswig-Holstein
01003,costs,food,22.35,Schleswig-Holstein
01004,costs,costs_nursing_class_1,50.24,Schleswig-Holstein
01004,costs,costs_nursing_class_2,62.95,Schleswig-Holstein
01004,costs,costs_nursing_class_3,75.43,Schleswig-Holstein
01004,costs,food,21.14,Schleswig-Holstein
01051,costs,costs_nursing_class_1,45.87,Schleswig-Holstein
01051,costs,costs_nursing_class_2,56.96,Schleswig-Holstein
01051,costs,costs_nursing_class_3,68.91,Schleswig-Holstein
01051,costs,food,21.47,Schleswig-Holstein
01053,costs,costs_nursing_class_1,46.1,Schleswig-Holstein
01053,costs,costs_nursing_class_2,57.28,Schleswig-Holstein
01053,costs,costs_nursing_class_3,69.07,Schleswig-Holstein
01053,costs,food,20.44,Schleswig-Holstein
01054,costs,costs_nursing_class_1,42.65,Schleswig-Holstein
01054,costs,costs_nursing_class_2,53.66,Schleswig-Holstein
01054,costs,costs_nursing_class_3,65.26,Schleswig-Holstein
