ags,type,key,value,state
16051,beds,1-bed,1540.0,Thüringen
16051,beds,2-bed,965.0,Thüringen
16051,beds,3-bed,0.0,Thüringen
16051,beds,4-bed,0.0,Thüringen
16052,beds,1-bed,1043.0,Thüringen
16052,beds,2-bed,218.0,Thüringen
16052,beds,3-bed,0.0,Thüringen
16052,beds,4-bed,0.0,Thüringen
16053,beds,1-bed,668.0,Thüringen
16053,beds,2-bed,438.0,Thüringen
16053,beds,3-bed,0.0,Thüringen
16053,beds,4-bed,0.0,Thüringen
16054,beds,1-bed,280.0,Thüringen
16054,beds,2-bed,118.0,Thüringen
16054,beds,3-bed,0.0,Thüringen
16054,beds,4-bed,0.0,Thüringen
16055,beds,1-bed,623.0,Thüringen
16055,beds,2-bed,248.0,Thüringen
16055,beds,3-bed,0.0,Thüringen
16055,beds,4-bed,0.0,Thüringen
16056,beds,1-bed,391.0,Thüringen
16056,beds,2-bed,172.0,Thüringen
16056,beds,3-bed,0.0,Thüringen
16056,beds,4-bed,0.0,Thüringen
16061,beds,1-bed,683.0,Thüringen
16061,beds,2-bed,235.0,Thüringen
16061,beds,3-bed,29.0,Thüringen
16061,beds,4-bed,12.0,Thüringen
16062,beds,1-bed,913.0,Thüringen
16062,beds,2-bed,460.0,Thüringen
16062,beds,3-bed,0.0,Thüringen
16062,beds,4-bed,0.0,Thüringen
16063,beds,1-bed,914.0,Thüringen
16063,beds,2-bed,377.0,Thüringen
16063,beds,3-bed,0.0,Thüringen
16063,beds,4-bed,0.0,Thüringen
16064,beds,1-bed,904.0,Thüringen
16064,beds,2-bed,456.0,Thüringen
16064,beds,3-bed,0.0,Thüringen
16064,beds,4-bed,0.0,Thüringen
16065,beds,1-bed,611.0,Thüringen
16065,beds,2-bed,302.0,Thüringen
16065,beds,3-bed,0.0,Thüringen
16065,beds,4-bed,0.0,Thüringen
16066,beds,1-bed,917.0,Thüringen
16066,beds,2-bed,424.0,Thüringen
16066,beds,3-bed,0.0,Thüringen
16066,beds,4-bed,0.0,Thüringen
16067,beds,1-bed,1046.0,Thüringen
16067,beds,2-bed,468.0,Thüringen
16067,beds,3-bed,0.0,Thüringen
16067,beds,4-bed,0.0,Thüringen
16068,beds,1-bed,413.0,Thüringen
16068,beds,2-bed,222.0,Thüringen
16068,beds,3-bed,3.0,Thüringen
16068,beds,4-bed,0.0,Thüringen
16069,beds,1-bed,590.0,Thüringen
16069,beds,2-bed,280.0,Thüringen
16069,beds,3-bed,0.0,Thüringen
16069,beds,4-bed,0.0,Thüringen
16070,beds,1-bed,889.0,Thüringen
16070,beds,2-bed,298.0,Thüringen
16070,beds,3-bed,0.0,Thüringen
16070,beds,4-bed,0.0,Thüringen
16071,beds,1-bed,551.0,Thüringen
16071,beds,2-bed,312.0,Thüringen
16071,beds,3-bed,0.0,Thüringen
16071,beds,4-bed,0.0,Thüringen
16072,beds,1-bed,360.0,Thüringen
16072,beds,2-bed,239.0,Thüringen
16072,beds,3-bed,0.0,Thüringen
16072,beds,4-bed,0.0,Thüringen
16073,beds,1-bed,844.0,Thüringen
16073,beds,2-bed,396.0,Thüringen
16073,beds,3-bed,0.0,Thüringen
16073,beds,4-bed,0.0,Thüringen
16074,beds,1-bed,388.0,Thüringen
16074,beds,2-bed,258.0,Thüringen
16074,beds,3-bed,0.0,Thüringen
16074,beds,4-bed,0.0,Thüringen
16075,beds,1-bed,501.0,Thüringen
16075,beds,2-bed,209.0,Thüringen
16075,beds,3-bed,0.0,Thüringen
16075,beds,4-bed,0.0,Thüringen
16076,beds,1-bed,800.0,Thüringen
16076,beds,2-bed,474.0,Thüringen
16076,beds,3-bed,0.0,Thüringen
16076,beds,4-bed,0.0,Thüringen
16077,beds,1-bed,847.0,Thüringen
16077,beds,2-bed,349.0,Thüringen
16077,beds,3-bed,0.0,Thüringen
16077,beds,4-bed,0.0,Thüringen
16051,recipients,recipients_nursing_class_1,1019.0,Thüringen
16051,recipients,recipients_nursing_class_2,826.0,Thüringen
16051,recipients,recipients_nursing_class_3,456.0,Thüringen
16051,recipients,recipients_nursing_class_unknown,20.0,Thüringen
16052,recipients,recipients_nursing_class_1,367.0,Thüringen
16052,recipients,recipients_nursing_class_2,556.0,Thüringen
16052,recipients,recipients_nursing_class_3,318.0,Thüringen
